tblUploadID,tblSightingsID,SightingID,SurveyID,EffortID,DuplicateSightingStatus,DuplicateSightingNumber,PlatformInstance,Latitude,Longitude,AphiaID,IdentificationConfidence,Cue,SurveyTeam,MinGroupSize,BestGroupSize,MaxGroupSize,NumberOfCalves,SightingStatus,SightingDemographics,SightingDirection,SightingAngle,RadialDistance,PerpendicularDistance,Behaviour1,Behaviour2,Behaviour3,Comments
572,29202,Sight267,08082012CWTScillyCrossingDS1239,Effort638                                         ,N,,1,49.9386833333333,-6.06463333333333,137209,NR,NR,NR,,1,,,A,,,50,800,,118,124,124,
572,29197,Sight278,22082012CWTScillyCrossingDS1248,Effort664                                         ,N,,1,50.0271333333333,-5.63043333333333,137117,NR,NR,NR,,2,,,A,,,110,300,,119,124,124,
572,28854,Sight323,21092012CWTScillyCrossingDS1276,Effort715                                         ,N,,1,49.9081666666667,-6.31293333333333,137117,NR,NR,NR,,1,,,A,,,90,300,,119,124,124,
572,29149,Sight316,11092012CWTScillyCrossingDS1265,Effort703                                         ,N,,1,50.0058333333333,-5.74115,137117,NR,NR,NR,,1,,,A,,,20,100,,119,124,124,
572,28954,Sight375,17082011CWTScillyCrossingDS1116,Effort987                                         ,N,,1,50.02095,-5.6686,127405,NR,NR,NR,,1,,,A,,,50,50,,119,124,124,
572,28886,Sight295,07092012CWTScillyCrossingDS1263,Effort689                                         ,N,,1,49.9372833333333,-6.2048,137094,NR,NR,NR,,1,,,A,,,190,200,,119,124,124,
572,29194,Sight337,19102012CWTScillyCrossingDS1289,Effort758                                         ,N,,1,49.92655,-6.15203333333333,137117,NR,NR,NR,,2,,,A,,,280,200,,119,124,124,
572,29026,Sight548,23092009CWTScillyCrossingDS882,Effort1620                                        ,N,,1,49.8993166666667,-6.28658333333333,137117,NR,NR,NR,,2,,,A,,,110,300,,119,124,124,
572,28847,Sight336,19102012CWTScillyCrossingDS1289,Effort754                                         ,N,,1,50.021,-5.6567,137117,NR,NR,NR,,1,,,A,,,280,500,,127,124,124,
572,28848,Sight335,19102012CWTScillyCrossingDS1289,Effort754                                         ,N,,1,50.04315,-5.57151666666667,137117,NR,NR,NR,,2,,,A,,,270,400,,127,124,124,
572,28856,Sight325,21092012CWTScillyCrossingDS1276,Effort718                                         ,N,,1,49.9598,-5.95513333333333,137117,NR,NR,NR,,2,,,A,,,100,500,,127,124,124,
572,29150,Sight303,07092012CWTScillyCrossingDS1264,Effort692                                         ,N,,1,49.9299,-6.108,137117,NR,NR,NR,,2,,,A,,,40,400,,127,124,124,
572,29151,Sight302,07092012CWTScillyCrossingDS1264,Effort692                                         ,N,,1,49.9299,-6.108,137117,NR,NR,NR,,2,,,A,,,60,200,,127,124,124,
572,29152,Sight301,07092012CWTScillyCrossingDS1264,Effort692                                         ,N,,1,49.9252166666667,-6.13675,137087,NR,NR,NR,,1,,,A,,,60,500,,127,124,124,
572,29153,Sight300,07092012CWTScillyCrossingDS1264,Effort692                                         ,N,,1,49.9163833333333,-6.1933,137117,NR,NR,NR,,2,,,A,,,130,200,,127,124,124,
572,28893,Sight262,08082012CWTScillyCrossingDS1239,Effort636                                         ,N,,1,49.9086166666667,-6.22228333333333,137117,NR,NR,NR,,1,,,A,,,110,200,,127,124,124,
572,29201,Sight265,08082012CWTScillyCrossingDS1239,Effort638                                         ,N,,1,49.9364833333333,-6.07565,137117,NR,NR,NR,,1,,,A,,,30,300,,127,124,124,
572,29203,Sight266,08082012CWTScillyCrossingDS1239,Effort638                                         ,N,,1,49.9364833333333,-6.07565,127405,NR,NR,NR,,1,,,A,,,40,200,,127,124,124,
572,28940,Sight388,28092011CWTScillyCrossingDS1144,Effort1041                                        ,N,,1,50.0002833333333,-5.75553333333333,137094,NR,NR,NR,,1,,,A,,,10,800,,127,124,124,
572,29175,Sight897,04062010CWTScillyCrossingDS941,Effort1214                                        ,N,,1,49.9351833333333,-6.07281666666667,137117,NR,NR,NR,,1,,,A,,,80,700,,127,124,124,
572,29145,Sight334,19102012CWTScillyCrossingDS1289,Effort753                                         ,N,,1,50.0752166666667,-5.52623333333333,137117,NR,NR,NR,,1,,,A,,,210,200,,127,124,124,
572,28899,Sight277,08082012CWTScillyCrossingDS1239,Effort642                                         ,N,,1,50.0805,-5.53575,127405,NR,NR,NR,,1,8,,A,,,40,50,,127,124,124,
572,28908,Sight251,11072012CWTScillyCrossingDS1228,Effort602                                         ,N,,1,49.9996833333333,-5.749,127405,NR,NR,NR,,1,,,A,,,40,50,,127,124,124,
572,28950,Sight823,24082011CWTScillyCrossingDS1126,Effort1002                                        ,N,,1,49.9922166666667,-5.7734,137098,NR,NR,NR,,3,,,A,,,,2000,,127,124,124,
572,28951,Sight822,24082011CWTScillyCrossingDS1126,Effort1002                                        ,N,,1,49.9889166666667,-5.78666666666667,137098,NR,NR,NR,,1,,,A,,,,500,,127,124,124,
572,28971,Sight357,25052011CWTScillyCrossingDS1066,Effort878                                         ,N,,1,50.00745,-5.69856666666667,105837,NR,NR,NR,,1,,,A,,,60,400,,127,128,124,
572,28977,Sight342,26032011CWTScillyCrossingDS1043,Effort784                                         ,N,,1,49.8987666666667,-6.30823333333333,137117,NR,NR,NR,,1,,,A,,,70,1000,,127,124,124,
572,28985,Sight462,06102010CWTScillyCrossingDS1023,Effort1366                                        ,N,,1,49.9728833333333,-5.8644,137094,NR,NR,NR,,30,30,,A,,,80,400,,127,124,124,
572,29232,Sight880,28042010CWTScillyCrossingDS914,Effort1160                                        ,N,,1,49.9369833333333,-6.22768333333333,137098,NR,NR,NR,,2,,,A,,,60,100,,127,124,124,
572,29187,Sight479,28052009CWTScillyCrossingDS822,Effort1475                                        ,N,,1,49.9251333333333,-6.1411,137117,NR,NR,NR,,1,,,A,,,70,150,,127,124,124,
572,29092,Sight163,25092013CWTScillyCrossingDS33,Effort264                                         ,N,,1,49.98995,-5.79611666666667,137094,NR,NR,NR,,10,,,A,,,170,400,,127,128,124,
572,29100,Sight126,28082013CWTScillyCrossingDS28,Effort220                                         ,N,,1,50.02485,-5.637,137209,NR,NR,NR,,1,,,A,,,170,300,,127,124,124,
572,29125,Sight106,10072013CWTScillyCrossingDS19,Effort149                                         ,N,,1,49.96555,-5.92116666666667,137094,NR,NR,NR,,6,,,A,,,340,1500,,73,124,124,
572,28865,Sight314,11092012CWTScillyCrossingDS1265,Effort701                                         ,N,,1,49.9778,-5.97131666666667,2688,NR,NR,NR,,1,,,A,,,110,1000,,73,124,124,
572,28866,Sight313,11092012CWTScillyCrossingDS1265,Effort701                                         ,N,,1,49.97465,-5.9929,137117,NR,NR,NR,,1,,,A,,,20,400,,127,124,124,
